1   -297.147892792
2   -305.042222221
3   -310.937416817
4   -305.781414744
5   -302.671732379
6   -294.043781077
7   -297.109526507
8   -296.531148961
9   -304.290614394
10   -300.450580856
11   -302.096337922
12   -304.621321835
13   -314.23598926
14   -301.546576487
15   -305.238215812
16   -305.748596304
17   -302.398041293
18   -305.073691546
19   -304.081739378
20   -306.71400869
21   -308.972514818
22   -304.37341092
23   -301.955502072
24   -308.906404716
25   -303.173022679
26   -302.683207683
27   -306.578527123
28   -304.401539088
29   -310.888586403
30   -303.374280434
31   -300.185997555
32   -299.313215703
33   -298.820281574
34   -301.447191054
35   -299.311260446
36   -299.878591374
37   -306.021471936
38   -306.248616042
39   -309.242884618
40   -303.340802445
41   -304.365364052
42   -309.299520717
43   -308.948791803
44   -308.82188356
45   -301.35128355
46   -306.165915655
47   -308.767813624
48   -309.81384751
49   -309.564846352
50   -303.688646142
51   -308.608489905
52   -312.230279191
53   -307.352835486
54   -306.672468088
55   -317.015277512
56   -314.36077951
57   -306.872529967
58   -306.302465638
59   -298.226465071
60   -312.041843958
61   -304.284066023
62   -304.962747904
63   -301.413995246
64   -306.285846432
65   -308.106269142
66   -300.360350106
67   -300.259743203
68   -306.244141449
69   -313.181528502
70   -305.453970198
71   -307.755049008
72   -310.783328214
73   -307.308283711
74   -307.77755639
75   -311.075656157
76   -303.199212539
77   -307.060560282
78   -297.868354196
79   -307.694600877
80   -307.480300392
81   -313.547726826
82   -301.635467289
83   -303.946923883
84   -312.432916507
85   -299.697317129
86   -300.900184212
87   -309.505489563
88   -302.210004052
89   -304.574867295
90   -302.588870239
91   -302.575005929
92   -306.892634336
93   -316.122869982
94   -313.874089253
95   -304.102542692
96   -299.79076494
97   -308.846556751
98   -306.328509582
99   -310.893756251
100   -308.72702664
