  IP_DNM1_S1  
   103 5
   1    -13.0600     -3.2300   -100.0000   -100.0000
   2    -20.0000      0.0000   -100.0000   -100.0000
   3     -5.4100     -3.6100   -100.0000   -100.0000
   4     -9.3300     -5.8800   -100.0000   -100.0000
   5    -14.0000     -8.2400   -100.0000   -100.0000
   6    -21.4000    -10.7000   -100.0000   -100.0000
   7    -25.5800    -13.2500   -100.0000   -100.0000
   8    -32.4900    -15.8800   -100.0000   -100.0000
   9    -40.1400    -18.6100   -100.0000   -100.0000
  10      0.0000      0.0000   -100.0000   -100.0000
  11     -4.8600     -2.8600     -1.5100   -100.0000
  12     -8.1100     -4.5500     -1.7600   -100.0000
  13    -11.4200     -6.2900     -1.9400   -100.0000
  14    -14.7900     -8.1000     -2.0600   -100.0000
  15    -18.2300     -9.9800     -2.1100   -100.0000
  16    -21.7300    -11.9200     -2.0900   -100.0000
  17    -25.2900    -13.9300     -2.0100   -100.0000
  18      0.0000      0.0000      0.0000   -100.0000
  19     -4.3400     -2.7300     -1.6700   -100.0000
  20     -5.1300     -2.9900     -3.4400   -100.0000
  21     -5.8300     -3.4300     -4.8500   -100.0000
  22     -6.3400     -3.7500     -5.9300   -100.0000
  23     -6.7100     -3.9500     -6.7700   -100.0000
  24     -6.9700     -4.0600     -7.4300   -100.0000
  25     -7.1500     -4.1000     -7.9900   -100.0000
  26     -7.2700     -4.0800     -8.5300   -100.0000
  27     -7.3800     -4.0200     -9.1000   -100.0000
  28     -7.5100     -3.9300     -9.7900   -100.0000
  29     -7.6900     -3.8400    -10.6700   -100.0000
  30     -9.3600     -4.7700    -17.5700   -100.0000
  31   -100.0000   -100.0000   -100.0000   -100.0000
  32   -100.0000   -100.0000   -100.0000   -100.0000
  33    -18.1800     -9.1900     -2.1700   -100.0000
  34    -20.9500    -10.3700     -2.1000   -100.0000
  35    -23.9400    -12.4400     -2.0500   -100.0000
  36   -100.0000   -100.0000   -100.0000   -100.0000
  37     -4.4300     -2.6500   -100.0000   -100.0000
  38     -5.1900     -3.1600     -3.6600   -100.0000
  39     -5.8500     -3.5800     -4.7400   -100.0000
  40     -6.4000     -3.9200     -5.7900   -100.0000
  41     -6.8400     -4.1500     -6.8200   -100.0000
  42     -7.1800     -4.2900     -7.8200   -100.0000
  43     -7.4200     -4.3400     -8.8000   -100.0000
  44     -7.5500     -4.3000     -9.7700   -100.0000
  45     -7.5800     -4.1700    -10.7000   -100.0000
  46     -7.5000     -3.9400    -11.6200   -100.0000
  47     -7.3100     -3.6200    -12.5100   -100.0000
  48     -8.9400     -4.7500    -17.6800   -100.0000
  49   -100.0000   -100.0000   -100.0000   -100.0000
  50    -14.1700     -7.0120   -100.0000   -100.0000
  51   -100.0000   -100.0000   -100.0000   -100.0000
  52   -100.0000   -100.0000   -100.0000   -100.0000
  53    -20.8400    -11.2100     -2.3200   -100.0000
  54   -100.0000   -100.0000   -100.0000   -100.0000
  55   -100.0000   -100.0000   -100.0000   -100.0000
  56   -100.0000   -100.0000   -100.0000   -100.0000
  57     -5.9784     -4.1950     -6.4153    -11.5064
  58     -5.9300     -3.6900     -6.7400    -12.1700
  59     -5.8900     -3.7600     -6.7700    -12.7900
  60     -5.9300     -3.8200     -6.7700    -13.3500
  61     -5.9800     -3.8700     -6.7400    -13.8500
  62     -6.0400     -3.9100     -6.7300    -14.2700
  63     -6.1000     -3.9500     -6.6800    -14.6200
  64     -6.1700     -3.9900     -6.6100    -14.9000
  65     -6.2500     -4.0300     -6.5400    -15.1300
  66     -6.3400     -4.0500     -6.4200    -15.2700
  67     -6.4200     -4.0800     -6.3000    -15.3500
  68     -6.5200     -4.1000     -6.1600    -15.3600
  69     -6.6200     -4.1200     -6.1000    -15.3000
  70     -6.7300     -4.1300     -5.9600    -15.1800
  71     -6.7700     -3.7000     -5.3100    -18.6000
  72   -100.0000   -100.0000   -100.0000   -100.0000
  73   -100.0000   -100.0000   -100.0000   -100.0000
  74   -100.0000   -100.0000   -100.0000   -100.0000
  75   -100.0000   -100.0000   -100.0000   -100.0000
  76   -100.0000   -100.0000   -100.0000   -100.0000
  77   -100.0000   -100.0000   -100.0000   -100.0000
  78   -100.0000   -100.0000   -100.0000   -100.0000
  79   -100.0000   -100.0000   -100.0000   -100.0000
  80   -100.0000   -100.0000   -100.0000   -100.0000
  81   -100.0000   -100.0000   -100.0000   -100.0000
  82   -100.0000   -100.0000   -100.0000   -100.0000
  83   -100.0000   -100.0000   -100.0000   -100.0000
  84   -100.0000   -100.0000   -100.0000   -100.0000
  85   -100.0000   -100.0000   -100.0000   -100.0000
  86   -100.0000   -100.0000   -100.0000   -100.0000
  87   -100.0000   -100.0000   -100.0000   -100.0000
  88   -100.0000   -100.0000   -100.0000   -100.0000
  89     -5.8600     -3.9700     -5.1500     -2.8000
  90     -6.0000     -4.1100     -5.4200     -3.6500
  91     -6.1300     -4.2500     -5.4600     -4.4200
  92     -6.2600     -4.3900     -5.8000     -5.1200
  93     -6.3800     -4.5100     -5.9000     -5.7500
  94     -6.4800     -4.6200     -5.9500     -6.3000
  95     -6.5800     -4.7300     -5.9300     -6.7900
  96     -6.6700     -4.8300     -5.8500     -7.2000
  97     -6.7500     -4.9200     -5.7100     -7.5400
  98     -6.8200     -5.0000     -5.5100     -7.8100
  99     -6.8800     -5.0700     -5.2500     -8.0100
 100     -6.9400     -5.1300     -4.9300     -8.1300
 101     -6.9800     -5.1900     -4.5500     -8.1800
 102     -7.0200     -5.2300     -4.1200     -8.1700
 103     -7.0500     -5.2700     -3.6200     -4.6000
