    1  124.3086
    2  123.3492
    3  121.1355
    4  118.2605
    5  118.7939
    6  117.2685
    7  121.9344
    8  120.4083
    9  120.7599
   10  117.9663
   11  114.8460
   12  115.4571
   13  118.4591
   14  121.9536
   15  121.5825
   16  119.2439
   17  119.5279
   18  115.4021
   19  118.0065
   20  120.0467
   21  122.9796
   22  122.5437
   23  119.8891
   24  117.5791
   25  118.3601
   26  121.3264
   27  124.3218
   28  124.4142
   29  122.1359
   30  118.1442
   31  116.0325
   32  119.8347
   33  120.6928
   34  122.5982
   35  122.4578
   36  119.9006
   37  118.2659
   38  117.1428
   39  117.3510
   40  119.2299
   41  122.2052
   42  123.2736
   43  119.2162
   44  120.9651
   45  118.8278
   46  119.6145
   47  118.6057
   48  122.1242
   49  118.6485
   50  120.5517
   51  118.4676
   52  120.5818
   53  119.9394
   54  120.0539
   55  118.3571
   56  116.1701
   57  118.2093
   58  119.6828
   59  122.6135
   60  126.3816
   61  121.6450
   62  119.2854
   63  114.0242
   64  116.9172
   65  120.7264
   66  125.0236
   67  125.9146
   68  122.4998
   69  120.1333
   70  115.5085
   71  116.2586
   72  121.4811
   73  127.3112
   74  127.3940
   75  125.7666
   76  122.8530
   77  119.7788
   78  120.7026
   79  119.2388
   80  120.8156
   81  120.9999
   82  120.7775
   83  121.4852
   84  117.6346
   85  120.3955
   86  117.4320
   87  121.2167
   88  120.4467
   89  121.3304
   90  119.5436
   91  119.6169
   92  122.1826
   93  123.0055
   94  120.4463
   95  120.2540
   96  120.7212
   97  118.9708
   98  122.0486
   99  120.4149
  100  123.5157
  101  123.5157
