    1    9.4650
    2   14.3117
    3   25.6857
    4   24.2459
    5   13.5605
    6   11.9507
    7   18.3755
    8   20.1035
    9   13.0974
   10   12.0566
   11   25.7184
   12   40.0085
   13   37.4865
   14   16.5908
   15    1.8506
   16   11.1304
   17   31.3573
   18   40.5192
   19   31.3919
   20   21.7138
   21   25.0875
   22   35.6434
   23   39.2683
   24   35.0164
   25   31.5964
   26   31.1136
   27   31.6004
   28   31.0073
   29   31.5433
   30   37.8228
   31   48.4481
   32   53.5453
   33   47.1419
   34   39.7948
   35   47.4820
   36   62.2878
   37   67.3826
   38   60.3189
   39   45.4105
   40   28.5489
   41   14.9985
   42   10.9562
   43   17.7068
   44   30.9310
   45   42.8688
   46   46.1154
   47   40.7164
   48   32.0298
   49   29.8044
   50   30.1230
   51   27.7559
   52   21.9200
   53   18.2118
   54   21.2224
   55   28.4002
   56   29.8347
   57   22.5743
   58   15.9714
   59   18.4795
   60   25.1620
   61   26.3435
   62   24.4683
   63   25.4523
   64   24.6473
   65   19.3786
   66   11.4162
   67    8.1615
   68   11.2252
   69   12.6719
   70   13.0526
   71   15.3548
   72   19.0094
   73   17.6059
   74    4.9991
   75  -12.0295
   76  -17.4917
   77   -6.0121
   78   12.4555
   79   21.8010
   80   14.5420
   81    1.6671
   82   -0.2874
   83    6.0991
   84    9.3597
   85    9.8018
   86   10.2210
   87    9.4115
   88    5.1521
   89   -3.3947
   90   -7.0575
   91    0.0484
   92   13.4521
   93   13.1496
   94   -6.6975
   95  -18.6115
   96   -1.2159
   97   16.7860
   98    5.6460
   99  -10.6269
  100   -0.9696
  101   -0.9696
