 NAME NORB NELEC  NPQ   ZETAS     ZETAP     ZETAD    ZETAD2    DZCOEF    DZCOEF2
  Ta  9  2  0  3  6    2.28000   2.24100   4.76200   1.93800    .66000    .55920
   W  9  2  0  4  6    2.34100   2.30900   4.98200   2.06800    .66850    .54240
  Re  9  2  0  5  6    2.39800   2.37200   5.34300   2.27700    .63780    .56580
  Os  9  2  0  6  6    2.45200   2.42900   5.57100   2.41600    .63720    .55980
  Ir  9  2  0  7  6    2.50400   2.48400   5.79600   2.55700    .63510    .55560
  Pt  9  1  0  9  6    2.55400   2.53500   6.01300   2.69600    .63310    .55160
  Au  9  1  0 10  6    2.60200   2.58400   6.16300   2.79400    .64420    .53560
  Hg  9  2  0 10  6    2.64900   2.63100   6.43600   3.03200    .64380    .52150
  Tl  4  2  1  0  6    2.7       2.7       0.        0.         .00000    .00000
  Pb  4  2  2  0  6    2.75      2.75      0.        0.         .00000    .00000
  Bi  4  2  3  0  6    2.80      2.80      0.        0.         .00000    .00000
  Po  4  2  4  0  6    2.85      2.85      0.        0.         .00000    .00000
 NAME   IP-S-A  IP-S-B  IP-S-C  IP-P-A  IP-P-B  IP-P-C  IP-D-A  IP-D-B  IP-D-C
#  H   13.6100 27.1600 13.5900   .0000   .0000   .0000   .0000   .0000   .0000
   H   13.6100 14.0890 12.5650   .0000   .0000   .0000   .0000   .0000   .0000
#  He     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
# Li    3.4200  9.4200  5.3800  3.4400  7.3200  3.5200   .0000   .0000   .0000
  Li    3.4200  5.3880  5.4390  3.4400  4.2960  3.6100   .0000   .0000   .0000
# Be    3.4400 10.0700  5.9300  3.4300 12.0900  9.8900   .0000   .0000   .0000
  Be    3.4400  7.9680  9.6630  3.4300  6.7110  6.0720   .0000   .0000   .0000
#  B    3.4500 14.9400 14.0500  3.4400 12.6900  8.2700   .0000   .0000   .0000
   B    3.4500 10.4750 14.4400  3.4400  9.0080  8.4380   .0000   .0000   .0000
#  C    3.4700 17.4900 21.1900  3.4700 13.8700 10.7700   .0000   .0000   .0000
   C    3.4700 12.9260 19.6540  3.4700 11.3050 11.1290   .0000   .0000   .0000
#  N    3.4900 20.1000 25.5500  3.4900 16.5000 13.1800   .0000   .0000   .0000
   N    3.4900 15.3410 25.3660  3.4900 13.5750 13.9000   .0000   .0000   .0000
#  O    3.4600 22.8700 32.3100  3.4600 18.5500 15.7800   .0000   .0000   .0000
   O    3.4600 17.7340 31.6000  3.4600 15.8260 16.7760   .0000   .0000   .0000
#  F    3.4800 25.4900 40.0900  3.4600 20.5100 18.6300   .0000   .0000   .0000
   F    3.4800 20.1120 38.3730  3.4600 18.0630 19.7690   .0000   .0000   .0000
#  Ne     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
# Na    1.6300  8.4300  5.0800  1.6500  6.1200  2.9600   .0000   .0000   .0000
  Na    1.6300  4.8960  5.3310  1.6500  3.4450  3.1780   .0000   .0000   .0000
# Mg    1.6300  9.7400  8.8800  1.6400  7.5000  4.4600   .0000   .0000   .0000
  Mg    1.6300  6.2150  8.2010  1.6400  4.7680  4.6410   .0000   .0000   .0000
# Al    1.1800 12.8400 11.0800  1.5400  9.3700  5.3000   .0000   .0000   .0000
  Al    1.1800  7.5760 11.7940  1.5400  5.8710  5.9760   .0000   .0000   .0000
# Si    1.3800 14.6400 13.7800  1.0900 13.7200  2.4000   .0000   .0000   .0000
  Si    1.3800  8.8680 15.3700  1.0900  7.0890  7.9900   .0000   .0000   .0000
#  P    1.7700 13.2200 18.7600  1.8900 10.4000 10.1100   .0000   .0000   .0000
   P    1.7700 10.1050 19.0130  1.8900  8.2720 10.0110   .0000   .0000   .0000
#  S    1.5200 15.3600 20.6500  1.6300 12.2000 11.5700   .0000   .0000   .0000
   S    1.5200 11.3050 22.7610  1.6300  9.4240 12.0810   .0000   .0000   .0000
# Cl    1.7000 15.7000 25.2500  1.6700 13.1700 13.6800   .0000   .0000   .0000
  Cl    1.7000 12.4770 26.6360  1.6700 10.5530 14.2170   .0000   .0000   .0000
#  Ar     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
